"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Trust Fintech Limited","SME",,"TRUST","26-MAR-2024","28-MAR-2024","101","04-APR-2024"
"Blue Pebble Limited","SME",,"BLUEPEBBLE","26-MAR-2024","28-MAR-2024","168","03-APR-2024"
"Naman In-Store (India) Limited","SME",,"NAMAN","22-MAR-2024","27-MAR-2024","89","02-APR-2024"
"Vishwas Agri Seeds Limited","SME",,"VISHWAS","21-MAR-2024","26-MAR-2024","86","01-APR-2024"
"Omfurn India Limited - FPO","SME",,"OMFURNFPO","20-MAR-2024","22-MAR-2024","75","28-MAR-2024"
"Enfuse Solutions Limited","SME",,"ENFUSE","15-MAR-2024","19-MAR-2024","96","22-MAR-2024"
"Enser Communications Limited","SME",,"ENSER","15-MAR-2024","19-MAR-2024","70","22-MAR-2024"
"Krystal Integrated Services Limited","EQ","   715","KRYSTAL","14-MAR-2024","18-MAR-2024","Rs.680 to Rs.715","21-MAR-2024"
"AVP Infracon Limited","SME",,"AVPINFRA","13-MAR-2024","15-MAR-2024","75","20-MAR-2024"
"Popular Vehicles and Services Limited","EQ","   295","PVSL","12-MAR-2024","14-MAR-2024","Rs.280 to Rs.295","19-MAR-2024"
"Signoria Creation Limited","SME",,"SIGNORIA","12-MAR-2024","14-MAR-2024","65","19-MAR-2024"
"Pratham EPC Projects Limited","SME",,"PRATHAM","11-MAR-2024","13-MAR-2024","75","18-MAR-2024"
"Gopal Snacks Limited","EQ","   401","GOPAL","06-MAR-2024","11-MAR-2024","Rs.381 to Rs.401","14-MAR-2024"
"Shree Karni Fabcom Limited","SME",,"SHREEKARNI","06-MAR-2024","11-MAR-2024","227","14-MAR-2024"
"J G Chemicals Limited","EQ","   221","JGCHEM","05-MAR-2024","07-MAR-2024","Rs.210 to Rs.221","13-MAR-2024"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","05-MAR-2024","19-MAR-2024","Rs.1000","09-APR-2024"
"Sona Machinery Limited","SME",,"SONAMAC","05-MAR-2024","07-MAR-2024","143","13-MAR-2024"
"R K Swamy Limited","EQ","   288","RKSWAMY","04-MAR-2024","06-MAR-2024","Rs.270 to Rs.288","12-MAR-2024"
"V R Infraspace Limited","SME",,"VR","04-MAR-2024","06-MAR-2024","85","12-MAR-2024"
"Mukka Proteins Limited","BE","    28","MUKKA","29-FEB-2024","04-MAR-2024","Rs.26 to Rs.28","07-MAR-2024"
"M.V.K. Agro food product limited","SME",,"MVKAGRO","29-FEB-2024","04-MAR-2024","120","07-MAR-2024"
"Bharat Highways InvIT","IV","   100","BHINVIT","28-FEB-2024","01-MAR-2024","Rs.98 to Rs.100","12-MAR-2024"
"Exicom Telesystems Limited","EQ","   142","EXICOM","27-FEB-2024","29-FEB-2024","Rs.135 to Rs.142","05-MAR-2024"
"Platinum Industries Limited","BE","   171","PLATIND","27-FEB-2024","29-FEB-2024","Rs.162 to Rs.171","05-MAR-2024"
"Purv Flexipack Limited","SME",,"PURVFLEXI","27-FEB-2024","29-FEB-2024","71","05-MAR-2024"
"Navi Finserv Limited","ND","  1000","NAVIFIN","26-FEB-2024","07-MAR-2024","Rs.1000","18-MAR-2024"
"Owais Metal and Mineral Processing Limited","SME",,"OWAIS","26-FEB-2024","28-FEB-2024","87","04-MAR-2024"
"Sadhav Shipping Limited","SME",,"SADHAV","23-FEB-2024","27-FEB-2024","95","01-MAR-2024"
"GPT Healthcare Limited","EQ","   186","GPTHEALTH","22-FEB-2024","26-FEB-2024","Rs.177 to Rs.186","29-FEB-2024"
"Juniper Hotels Limited","EQ","   360","JUNIPER","21-FEB-2024","23-FEB-2024","Rs.342 to Rs.360","28-FEB-2024"
"Deem Roll-Tech Limited","SME",,"DEEM","20-FEB-2024","22-FEB-2024","129","27-FEB-2024"
"Zenith Drugs Limited","SME",,"ZENITHDRUG","19-FEB-2024","22-FEB-2024","79","27-FEB-2024"
"Esconet Technologies Limited","SME",,"ESCONET","16-FEB-2024","20-FEB-2024","84","23-FEB-2024"
"Thaai Casting Limited","SME",,"TCL","15-FEB-2024","20-FEB-2024","77","23-FEB-2024"
"Atmastco Limited","SME",,"ATMASTCO","15-FEB-2024","20-FEB-2024","77","23-FEB-2024"
"Kalahridhaan Trendz Limited","SME",,"KTL","15-FEB-2024","20-FEB-2024","10","23-FEB-2024"
"Interiors & More Limited","SME",,"INM","15-FEB-2024","20-FEB-2024","227","23-FEB-2024"
"Vibhor Steel Tubes Limited","BE","   151","VSTL","13-FEB-2024","15-FEB-2024","Rs.141 to Rs.151","20-FEB-2024"
"Wise Travel India Limited","SME",,"WTICAB","12-FEB-2024","14-FEB-2024","147","19-FEB-2024"
"Entero Healthcare Solutions Limited","EQ","  1258","ENTERO","09-FEB-2024","13-FEB-2024","Rs.1195 to Rs.1258","16-FEB-2024"
"UGRO Capital Limited","DEBT","  1000","UGROD4","08-FEB-2024","21-FEB-2024","Rs.1000","28-OCT-2024"
"Polysil Irrigation Systems Limited","SME",,"POLYSIL","08-FEB-2024","13-FEB-2024","54","16-FEB-2024"
"Alpex Solar Limited","SME",,"ALPEXSOLAR","08-FEB-2024","12-FEB-2024","115","15-FEB-2024"
"Capital Small Finance Bank Limited","EQ","   468","CAPITALSFB","07-FEB-2024","09-FEB-2024","Rs.445 to Rs.468","14-FEB-2024"
"Jana Small Finance Bank Limited","EQ","   414","JSFB","07-FEB-2024","09-FEB-2024","Rs.393 to Rs.414","14-FEB-2024"
"Rashi Peripherals Limited","EQ","   311","RPTECH","07-FEB-2024","09-FEB-2024","Rs.295 to Rs.311","14-FEB-2024"
"Apeejay Surrendra Park Hotels Limited","EQ","   155","PARKHOTELS","05-FEB-2024","07-FEB-2024","Rs.147 to Rs.155","12-FEB-2024"
"Italian Edibles Limited","SME",,"ITALIANE","02-FEB-2024","07-FEB-2024","68","12-FEB-2024"
"BLS E- Services Limited","EQ","   135","BLSE","30-JAN-2024","01-FEB-2024","Rs.129 to Rs.135","06-FEB-2024"
"Megatherm Induction Limited","SME",,"MEGATHERM","29-JAN-2024","31-JAN-2024","108","05-FEB-2024"
"Baweja Studios Limited","SME",,"BAWEJA","29-JAN-2024","01-FEB-2024","180","06-FEB-2024"
"Delaplex Limited","SME",,"DELAPLEX","25-JAN-2024","30-JAN-2024","192","02-FEB-2024"
"Fonebox Retail Limited","SME",,"FONEBOX","25-JAN-2024","30-JAN-2024","70","02-FEB-2024"
"Docmode Health Technologies Limited","SME",,"DHTL","25-JAN-2024","30-JAN-2024","79","02-FEB-2024"
"Nova Agritech Limited","BE","    41","NOVAAGRI","23-JAN-2024","25-JAN-2024","Rs.39 to Rs.41","31-JAN-2024"
"EPACK Durable Limited","EQ","   230","EPACK","19-JAN-2024","24-JAN-2024","Rs.218 to Rs.230","30-JAN-2024"
"Cholamandalam Investment and Finance Company Limited","NX","######","9CIFL34","19-JAN-2024","25-JAN-2024","Rs.1000","06-JUN-2024"
"Konstelec Engineers Limited","SME",,"KONSTELEC","19-JAN-2024","24-JAN-2024","70","30-JAN-2024"
"Addictive Learning Technology Limited","SME",,"LAWSIKHO","19-JAN-2024","24-JAN-2024","140","30-JAN-2024"
"Medi Assist Healthcare Services Limited","EQ","   418","MEDIASSIST","15-JAN-2024","17-JAN-2024","Rs.397 to Rs.418","23-JAN-2024"
"Maxposure Limited","SME",,"MAXPOSURE","15-JAN-2024","17-JAN-2024","33","23-JAN-2024"
"Australian Premium Solar (India) Limited","SME",,"APS","11-JAN-2024","15-JAN-2024","54","18-JAN-2024"
"Jyoti CNC Automation Limited","EQ","   331","JYOTICNC","09-JAN-2024","11-JAN-2024","Rs.315 to Rs.331","16-JAN-2024"
"IBL Finance Limited","SME",,"IBLFL","09-JAN-2024","11-JAN-2024","51","16-JAN-2024"
"Kaushalya Logistics Limited","SME",,"KLL","29-DEC-2023","03-JAN-2024","75","08-JAN-2024"
"Kay Cee Energy & Infra Limited","SME",,"KCEIL","28-DEC-2023","02-JAN-2024","54","05-JAN-2024"
"Akanksha Power and Infrastructure Limited","SME",,"AKANKSHA","27-DEC-2023","29-DEC-2023","55","03-JAN-2024"
"HRH Next Services Limited","SME",,"HRHNEXT","27-DEC-2023","29-DEC-2023","36","03-JAN-2024"
"Innova Captab Limited","EQ","   448","INNOVACAP","21-DEC-2023","26-DEC-2023","Rs.426 to Rs.448","29-DEC-2023"
"Sameera Agro and Infra Limited","SME",,"SAIFL","21-DEC-2023","27-DEC-2023","180","01-JAN-2024"
"Trident Techlabs Limited","SME",,"TECHLABS","21-DEC-2023","26-DEC-2023","35","29-DEC-2023"
"Supreme Power Equipment Limited","SME",,"SUPREMEPWR","21-DEC-2023","26-DEC-2023","65","29-DEC-2023"
"Indifra Limited","SME",,"INDIFRA","21-DEC-2023","26-DEC-2023","65","29-DEC-2023"
"Azad Engineering Limited","EQ","   524","AZAD","20-DEC-2023","22-DEC-2023","Rs.499 to Rs.524","28-DEC-2023"
"Happy Forging Limited","EQ","   850","HAPPYFORGE","19-DEC-2023","21-DEC-2023","Rs.808 to Rs.850","27-DEC-2023"
"Credo Brands Marketing Limited","EQ","   280","MUFTI","19-DEC-2023","21-DEC-2023","Rs.266 to Rs.280","27-DEC-2023"
"RBZ Jewellers Limited","BE","   100","RBZJEWEL","19-DEC-2023","21-DEC-2023","Rs.95 to Rs.100","27-DEC-2023"
"Electro Force (India) Limited","SME",,"EFORCE","19-DEC-2023","21-DEC-2023","93","27-DEC-2023"
"Muthoot Microfin Limited","EQ","   291","MUTHOOTMF","18-DEC-2023","20-DEC-2023","Rs.277 to Rs.291","26-DEC-2023"
"Suraj Estate Developers Limited","EQ","   360","SURAJEST","18-DEC-2023","20-DEC-2023","Rs.340 to Rs.360","26-DEC-2023"
"Motisons Jewellers Limited","BE","    55","MOTISONS","18-DEC-2023","20-DEC-2023","Rs.52 to Rs.55","26-DEC-2023"
"INOX India Limited","EQ","   660","INOXINDIA","14-DEC-2023","18-DEC-2023","Rs.627 to Rs.660","21-DEC-2023"
"Shree OSFM E-Mobility Limited","SME",,"SHREEOSFM","14-DEC-2023","18-DEC-2023","65","21-DEC-2023"
"DOMS Industries Limited","EQ","   790","DOMS","13-DEC-2023","15-DEC-2023","Rs.750 to Rs.790","20-DEC-2023"
"India Shelter Finance Corporation Limited","EQ","   493","INDIASHLTR","13-DEC-2023","15-DEC-2023","Rs.469 to Rs.493","20-DEC-2023"
"S J Logistics (India) Limited","SME",,"SJLOGISTIC","12-DEC-2023","14-DEC-2023","125","19-DEC-2023"
"Presstonic Engineering Limited","SME",,"PRESSTONIC","11-DEC-2023","13-DEC-2023","72","18-DEC-2023"
"Accent Microcell Limited","SME",,"ACCENTMIC","08-DEC-2023","12-DEC-2023","140","15-DEC-2023"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","07-DEC-2023","20-DEC-2023","Rs.1000","09-APR-2024"
"IIFL Samasta Finance Limited","N9","  1000","960IIFLS26","04-DEC-2023","15-DEC-2023","Rs.1000","25-JUN-2024"
"Sheetal Universal Limited","SME",,"SHEETAL","04-DEC-2023","06-DEC-2023","70","11-DEC-2023"
"Marinetrans India Limited","SME",,"MARINETRAN","30-NOV-2023","05-DEC-2023","26","08-DEC-2023"
"Net Avenue Technologies Limited","SME",,"CBAZAAR","30-NOV-2023","04-DEC-2023","18","08-DEC-2023"
"Graphisads Limited","SME",,"GRAPHISAD","30-NOV-2023","05-DEC-2023","111","13-DEC-2023"
"Cholamandalam Investment and Finance Company Limited","NX","######","9CIFL34","28-NOV-2023","01-DEC-2023","Rs.1000","06-JUN-2024"
"Flair Writing Industries Limited","EQ","   304","FLAIR","22-NOV-2023","24-NOV-2023","Rs.288 to Rs.304","01-DEC-2023"
"Tata Technologies Limited","EQ","   500","TATATECH","22-NOV-2023","24-NOV-2023","Rs.475 to Rs.500","30-NOV-2023"
"Gandhar Oil Refinery (India) Limited","EQ","   169","GANDHAR","22-NOV-2023","24-NOV-2023","Rs.160 to Rs.169","30-NOV-2023"
"Fedbank Financial Services Limited","EQ","   140","FEDFINA","22-NOV-2023","24-NOV-2023","Rs.133 to Rs.140","30-NOV-2023"
"Rockingdeals Circular Economy Limited","SME",,"ROCKINGDCE","22-NOV-2023","24-NOV-2023","140","30-NOV-2023"
"Indian Renewable Energy Development Agency Limited","ND","######","75IREDA34","21-NOV-2023","23-NOV-2023","Rs.30 to Rs.32","07-JUN-2024"
"ASK Automotive Limited","EQ","   282","ASKAUTOLTD","07-NOV-2023","09-NOV-2023","Rs.268 to Rs.282","15-NOV-2023"
"ROX Hi-Tech Limited","SME",,"ROXHITECH","07-NOV-2023","09-NOV-2023","83","16-NOV-2023"
"Sunrest Lifescience Limited","SME",,"SUNREST","07-NOV-2023","09-NOV-2023","84","20-NOV-2023"
"Protean eGov Technologies Limited","EQ","-","PROTEAN","06-NOV-2023","08-NOV-2023","Rs.752 to Rs.792","-"
"ESAF Small Finance Bank Limited","EQ","    60","ESAFSFB","03-NOV-2023","07-NOV-2023","Rs.57 to Rs.60","10-NOV-2023"
"Baba Food Processing (India) Limited","SME",,"BABAFP","03-NOV-2023","07-NOV-2023","76","15-NOV-2023"
"Micropro Software Solutions Limited","SME",,"MICROPRO","03-NOV-2023","07-NOV-2023","81","10-NOV-2023"
"SAR Televenture Limited","SME",,"SARTELE","01-NOV-2023","03-NOV-2023","55","08-NOV-2023"
"Honasa Consumer Limited","EQ","   324","HONASA","31-OCT-2023","02-NOV-2023","Rs.308 to Rs.324","07-NOV-2023"
"Cello World Limited","EQ","   648","CELLO","30-OCT-2023","01-NOV-2023","Rs.617 to Rs.648","06-NOV-2023"
"Transteel Seating Technologies Limited","SME",,"TRANSTEEL","30-OCT-2023","01-NOV-2023","70","06-NOV-2023"
"Shanthala FMCG Products Limited","SME",,"SHANTHALA","27-OCT-2023","31-OCT-2023","91","03-NOV-2023"
"Maitreya Medicare Limited","SME",,"MAITREYA","27-OCT-2023","01-NOV-2023","82","07-NOV-2023"
"Paragon Fine and Speciality Chemical Limited","SME",,"PARAGON","26-OCT-2023","30-OCT-2023","100","03-NOV-2023"
"Blue Jet Healthcare Limited","EQ","   346","BLUEJET","25-OCT-2023","27-OCT-2023","Rs.329 to Rs.346","01-NOV-2023"
"On Door Concepts Limited","SME",,"ONDOOR","23-OCT-2023","27-OCT-2023","208","01-NOV-2023"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","20-OCT-2023","03-NOV-2023","Rs.1000","09-APR-2024"
"Piramal Enterprises Limited","N4","######","PEL","19-OCT-2023","30-OCT-2023","Rs.1000","04-MAR-2024"
"IRM ENERGY LIMITED","EQ","   505","IRMENERGY","18-OCT-2023","20-OCT-2023","Rs.480 to Rs.505","26-OCT-2023"
"Rajgor Castor Derivatives Limited","SME",,"RCDL","17-OCT-2023","20-OCT-2023","50","31-OCT-2023"
"Womancart Limited","SME",,"WOMANCART","16-OCT-2023","18-OCT-2023","86","27-OCT-2023"
"Arvind and Company Shipping Agencies Limited","SME",,"ACSAL","12-OCT-2023","16-OCT-2023","45","25-OCT-2023"
"Committed Cargo Care Limited","SME",,"COMMITTED","06-OCT-2023","10-OCT-2023","77","18-OCT-2023"
"Plaza Wires Limited","BE","    54","PLAZACABLE","29-SEP-2023","05-OCT-2023","Rs.51 to Rs.54","12-OCT-2023"
"Sharp Chucks and Machines Limited","SME",,"SCML","29-SEP-2023","05-OCT-2023","58","12-OCT-2023"
"Plada Infotech Services Limited","SME",,"PLADAINFO","29-SEP-2023","05-OCT-2023","48","13-OCT-2023"
"Karnika Industries Limited","SME",,"KARNIKA","29-SEP-2023","05-OCT-2023","76","12-OCT-2023"
"Vishnusurya Projects and Infra Limited","SME",,"VISHNUINFR","29-SEP-2023","05-OCT-2023","68","10-OCT-2023"
"Valiant Laboratories Limited","BE","   140","VALIANTLAB","27-SEP-2023","03-OCT-2023","Rs.133 to Rs.140","06-OCT-2023"
"Aditya Birla Finance Limited","NF","######","ABFL","27-SEP-2023","03-OCT-2023","Rs.1000","24-APR-2024"
"E Factor Experiences Limited","SME",,"EFACTOR","27-SEP-2023","03-OCT-2023","75","09-OCT-2023"
"Vinyas Innovative Technologies Limited","SME",,"VINYAS","27-SEP-2023","03-OCT-2023","165","06-OCT-2023"
"Canarys Automations Limited","SME",,"CANARYS","27-SEP-2023","03-OCT-2023","31","11-OCT-2023"
"Oneclick Logistics India Limited","SME",,"OLIL","27-SEP-2023","03-OCT-2023","99","11-OCT-2023"
"Kontor Space Limited","SME",,"KONTOR","27-SEP-2023","03-OCT-2023","93","10-OCT-2023"
"Goyal Salt Limited","SME",,"GOYALSALT","26-SEP-2023","03-OCT-2023","38","11-OCT-2023"
"Updater Services Limited","EQ","   300","UDS","25-SEP-2023","27-SEP-2023","Rs.280 to Rs.300","04-OCT-2023"
"JSW Infrastructure Limited","EQ","   119","JSWINFRA","25-SEP-2023","27-SEP-2023","Rs.113 to Rs.119","03-OCT-2023"
"Newjaisa Technologies Limited","SME",,"NEWJAISA","25-SEP-2023","27-SEP-2023","47","05-OCT-2023"
"Saakshi Medtech and Panels Limited","SME",,"SAAKSHI","25-SEP-2023","27-SEP-2023","97","03-OCT-2023"
"Inspire Films Limited","SME",,"INSPIRE","25-SEP-2023","27-SEP-2023","59","05-OCT-2023"
"Digikore Studios Limited","SME",,"DIGIKORE","25-SEP-2023","27-SEP-2023","171","04-OCT-2023"
"Arabian Petroleum Limited","SME",,"ARABIAN","25-SEP-2023","27-SEP-2023","70","09-OCT-2023"
"Manoj Vaibhav Gems N Jewellers Limited","EQ","   215","MVGJL","22-SEP-2023","26-SEP-2023","Rs.204 to Rs.215","03-OCT-2023"
"Marco Cables and Conductors Limited","SME",,"MARCO","21-SEP-2023","25-SEP-2023","-","28-SEP-2023"
"Mangalam Alloys Limited","SME",,"MAL","21-SEP-2023","25-SEP-2023","80","04-OCT-2023"
"HI-Green Carbon Limited","SME",,"HIGREEN","21-SEP-2023","25-SEP-2023","75","28-SEP-2023"
"Signatureglobal (India) Limited","EQ","   385","SIGNATURE","20-SEP-2023","22-SEP-2023","Rs.366 to Rs.385","27-SEP-2023"
"Sai Silks (Kalamandir) Limited","EQ","   222","KALAMANDIR","20-SEP-2023","22-SEP-2023","Rs.210 to Rs.222","27-SEP-2023"
"Madhusudan Masala Limited","SME",,"MADHUSUDAN","18-SEP-2023","21-SEP-2023","70","26-SEP-2023"
"Master Components Limited","SME",,"MASTER","18-SEP-2023","21-SEP-2023","140","29-SEP-2023"
"Yatra Online Limited","EQ","   142","YATRA","15-SEP-2023","20-SEP-2023","Rs.135 to Rs.142","28-SEP-2023"
"Kody Technolab Limited","SME",,"KODYTECH","15-SEP-2023","20-SEP-2023","160","27-SEP-2023"
"Cellecor Gadgets Limited","SME",,"CELLECOR","15-SEP-2023","20-SEP-2023","92","28-SEP-2023"
"Holmarc Opto-Mechatronics Limited","SME",,"HOLMARC","15-SEP-2023","20-SEP-2023","40","25-SEP-2023"
"Zaggle Prepaid Ocean Services Limited","EQ","   164","ZAGGLE","14-SEP-2023","18-SEP-2023","Rs.156 to Rs.164","22-SEP-2023"
"SAMHI Hotels Limited","EQ","   126","SAMHI","14-SEP-2023","18-SEP-2023","Rs.119 to Rs.126","22-SEP-2023"
"R R Kabel Limited","EQ","  1035","RRKABEL","13-SEP-2023","15-SEP-2023","Rs.983 to Rs.1035","20-SEP-2023"
"Chavda Infra Limited","SME",,"CHAVDA","12-SEP-2023","14-SEP-2023","65","25-SEP-2023"
"Kundan Edifice Limited","SME",,"KEL","12-SEP-2023","15-SEP-2023","91","26-SEP-2023"
"EMS Limited","EQ","   211","EMSLIMITED","08-SEP-2023","12-SEP-2023","Rs.200 to Rs.211","21-SEP-2023"
"Unihealth Consultancy Limited","SME",,"UNIHEALTH","08-SEP-2023","12-SEP-2023","132","21-SEP-2023"
"Jiwanram Sheoduttrai Industries Limited","SME",,"JIWANRAM","08-SEP-2023","12-SEP-2023","23","18-SEP-2023"
"Jupiter Life Line Hospitals Limited","EQ","   735","JLHL","06-SEP-2023","08-SEP-2023","Rs.695 to Rs.735","18-SEP-2023"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","06-SEP-2023","20-SEP-2023","Rs.1000","09-APR-2024"
"Ratnaveer Precision Engineering Limited","BE","    98","RATNAVEER","04-SEP-2023","06-SEP-2023","Rs.93 to Rs.98","11-SEP-2023"
"Basilic Fly Studio Limited","SME",,"BASILIC","01-SEP-2023","05-SEP-2023","97","11-SEP-2023"
"Pramara Promotions Limited","SME",,"PRAMARA","01-SEP-2023","05-SEP-2023","63","13-SEP-2023"
"Saroja Pharma Industries India Limited","SME",,"SAROJA","31-AUG-2023","05-SEP-2023","84","13-SEP-2023"
"Rishabh Instruments Limited","EQ","   441","RISHABH","30-AUG-2023","01-SEP-2023","Rs.418 to Rs.441","11-SEP-2023"
"C P S Shapers Limited","SME",,"CPS","29-AUG-2023","31-AUG-2023","185","07-SEP-2023"
"Mono Pharmacare Limited","SME",,"MONOPHARMA","28-AUG-2023","30-AUG-2023","28","07-SEP-2023"
"Sahaj Fashions Limited","SME",,"SAHAJ","25-AUG-2023","29-AUG-2023","30","06-SEP-2023"
"Vishnu Prakash R Punglia Limited","EQ","    99","VPRPL","24-AUG-2023","28-AUG-2023","Rs.94 to Rs.99","05-SEP-2023"
"CreditAccess Grameen Limited","NE","  1000","CREDITACC","24-AUG-2023","01-SEP-2023","Rs.1000","11-SEP-2023"
"Aeroflex Industries Limited","EQ","   108","AEROFLEX","22-AUG-2023","24-AUG-2023","Rs.102 to Rs.108","31-AUG-2023"
"Sungarner Energies Limited","SME",,"SEL","21-AUG-2023","23-AUG-2023","83","31-AUG-2023"
"Pyramid Technoplast Limited","BE","   166","PYRAMID","18-AUG-2023","22-AUG-2023","Rs.151 to Rs.166","29-AUG-2023"
"Crop Life Science Limited","SME",,"CLSL","18-AUG-2023","22-AUG-2023","52","30-AUG-2023"
"TVS Supply Chain Solutions Limited","EQ","   197","TVSSCS","10-AUG-2023","14-AUG-2023","Rs.187 to Rs.197","23-AUG-2023"
"Srivari Spices and Foods Limited","SME",,"SSFL","07-AUG-2023","09-AUG-2023","42","18-AUG-2023"
"Concord Biotech Limited","EQ","   741","CONCORDBIO","04-AUG-2023","08-AUG-2023","Rs.705 to Rs.741","18-AUG-2023"
"Sangani Hospitals Limited","SME",,"SANGANI","04-AUG-2023","08-AUG-2023","40","17-AUG-2023"
"Yudiz Solutions Limited","SME",,"YUDIZ","04-AUG-2023","08-AUG-2023","165","17-AUG-2023"
"SBFC Finance Limited","EQ","    57","SBFC","03-AUG-2023","07-AUG-2023","Rs.54 to Rs.57","16-AUG-2023"
"Vinsys IT Services India Limited","SME",,"VINSYS","01-AUG-2023","04-AUG-2023","128","11-AUG-2023"
"Oriana Power Limited","SME",,"ORIANA","01-AUG-2023","03-AUG-2023","118","11-AUG-2023"
"Cholamandalam Investment and Finance Company Limited","NX","######","9CIFL34","28-JUL-2023","03-AUG-2023","Rs.1000","06-JUN-2024"
"Zeal Global Services Limited","SME",,"ZEAL","28-JUL-2023","01-AUG-2023","103","09-AUG-2023"
"Yatharth Hospital and Trauma Care Services Limited","EQ","   300","YATHARTH","26-JUL-2023","28-JUL-2023","Rs.285 to Rs.300","07-AUG-2023"
"Shri Techtex Limited","SME",,"SHRITECH","26-JUL-2023","28-JUL-2023","61","04-AUG-2023"
"Yasons Chemex Care Limited","SME",,"YCCL","24-JUL-2023","26-JUL-2023","40","03-AUG-2023"
"Netweb Technologies India Limited","EQ","   500","NETWEB","17-JUL-2023","19-JUL-2023","Rs.475 to Rs.500","27-JUL-2023"
"Service Care Limited","SME",,"SERVICE","14-JUL-2023","18-JUL-2023","67","26-JUL-2023"
"Utkarsh Small Finance Bank Limited","EQ","    25","UTKARSHBNK","12-JUL-2023","14-JUL-2023","Rs.23 to Rs.25","21-JUL-2023"
"Navi Finserv Limited","ND","  1000","NAVIFIN","10-JUL-2023","13-JUL-2023","Rs.1000","18-MAR-2024"
"Indiabulls Housing Finance Limited","Z9","######","IBULHSG","10-JUL-2023","21-JUL-2023","Rs.1000","09-APR-2024"
"Drone Destination Limited","SME",,"DRONE","07-JUL-2023","13-JUL-2023","65","21-JUL-2023"
"Senco Gold Limited","EQ","   317","SENCO","04-JUL-2023","06-JUL-2023","Rs.301 to Rs.317","14-JUL-2023"
"PKH Ventures Limited","EQ","-","PKH","30-JUN-2023","04-JUL-2023","Rs.140 to Rs.148","-"
"PKH Ventures Limited - Issue Withdrawn","EQ","-","PKH","30-JUN-2023","04-JUL-2023","Rs.140 to Rs.148","-"
"Synoptics Technologies Limited","SME",,"SYNOPTICS","30-JUN-2023","05-JUL-2023","237","13-JUL-2023"
"Tridhya Tech Limited","SME",,"TRIDHYA","30-JUN-2023","05-JUL-2023","42","13-JUL-2023"
"Global Pet Industries Limited","SME",,"GLOBALPET","28-JUN-2023","03-JUL-2023","49","10-JUL-2023"
"Cyient DLM Limited","EQ","   265","CYIENTDLM","27-JUN-2023","30-JUN-2023","Rs.250 to Rs.265","10-JUL-2023"
"Ideaforge Technology Limited","EQ","   672","IDEAFORGE","26-JUN-2023","30-JUN-2023","Rs.638 to Rs.672","07-JUL-2023"
"Pentagon Rubber Limited","SME",,"PENTAGON","26-JUN-2023","30-JUN-2023","70","07-JUL-2023"
"Essen Speciality Films Limited","SME",,"ESFL","23-JUN-2023","27-JUN-2023","107","06-JUL-2023"
"Greenchef Appliances Limited","SME",,"GREENCHEF","23-JUN-2023","27-JUN-2023","87","06-JUL-2023"
"Magson Retail and Distribution Limited","SME",,"MAGSON","23-JUN-2023","27-JUN-2023","65","06-JUL-2023"
"HMA Agro Industries Limited","EQ","   585","HMAAGRO","20-JUN-2023","23-JUN-2023","Rs.555 to Rs.585","04-JUL-2023"
"Aatmaj Healthcare Limited","SME",,"AATMAJ","19-JUN-2023","21-JUN-2023","60","30-JUN-2023"
"Vilin Bio Med Limited","SME",,"VILINBIO","16-JUN-2023","21-JUN-2023","30","30-JUN-2023"
"Cell Point (India) Limited","SME",,"CELLPOINT","15-JUN-2023","20-JUN-2023","100","28-JUN-2023"
"Urban Enviro Waste Management Limited","SME",,"URBAN","12-JUN-2023","14-JUN-2023","100","22-JUN-2023"
"IIFL Finance Limited","Y1","  1000","IIFL","09-JUN-2023","22-JUN-2023","Rs.1000","03-JUL-2023"
